cnt,t1,t2,hum,wind_speed,weather_code,is_holiday,is_weekend,season,Dates,Time,Year
1757,5.5,2.5,81.0,13.0,Clear,0.0,0.0,Winter,2015-01-07,7,2015
3618,6.5,3.5,81.0,15.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,8,2015
1714,8.0,5.0,76.0,19.0,Broken Clouds,0.0,0.0,Winter,2015-01-07,9,2015
763,8.0,5.0,82.0,19.5,Scattered Clouds,0.0,0.0,Winter,2015-01-07,10,2015
690,9.0,6.0,76.0,21.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,11,2015
913,9.0,5.5,76.0,27.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,12,2015
982,9.5,6.0,71.5,28.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,13,2015
783,10.0,6.5,62.0,28.5,Scattered Clouds,0.0,0.0,Winter,2015-01-07,14,2015
794,9.0,6.0,68.5,25.0,Scattered Clouds,0.0,0.0,Winter,2015-01-07,15,2015
1171,9.0,6.0,76.0,25.0,Broken Clouds,0.0,0.0,Winter,2015-01-07,16,2015
2647,9.5,6.5,71.5,24.0,Broken Clouds,0.0,0.0,Winter,2015-01-07,17,2015
2579,10.0,7.0,71.0,30.0,Broken Clouds,0.0,0.0,Winter,2015-01-07,18,2015
657,10.0,6.5,79.0,30.5,Broken Clouds,0.0,0.0,Winter,2015-01-07,20,2015
516,10.0,7.0,82.0,27.0,Rain,0.0,0.0,Winter,2015-01-07,21,2015
414,10.0,7.0,82.0,27.0,Rain,0.0,0.0,Winter,2015-01-07,22,2015
206,10.0,7.0,85.0,24.0,Rain,0.0,0.0,Winter,2015-01-07,23,2015
123,11.0,11.0,82.0,26.0,Cloudy,0.0,0.0,Winter,2015-01-08,0,2015
56,11.5,11.5,85.0,24.0,Broken Clouds,0.0,0.0,Winter,2015-01-08,1,2015
51,12.0,12.0,82.0,25.0,Broken Clouds,0.0,0.0,Winter,2015-01-08,2,2015
33,12.0,12.0,85.0,22.0,Broken Clouds,0.0,0.0,Winter,2015-01-08,3,2015
32,12.0,12.0,88.0,20.5,Rain,0.0,0.0,Winter,2015-01-08,4,2015
87,12.0,12.0,80.0,20.5,Rain,0.0,0.0,Winter,2015-01-08,5,2015
511,11.5,11.5,74.5,17.0,Broken Clouds,0.0,0.0,Winter,2015-01-08,6,2015
982,10.5,9.5,82.5,17.0,Rain,0.0,0.0,Winter,2015-01-08,7,2015
1228,9.5,7.5,87.5,14.0,Rain,0.0,0.0,Winter,2015-01-08,8,2015
573,9.0,7.0,87.0,13.0,Rain,0.0,0.0,Winter,2015-01-08,9,2015
185,9.0,7.0,87.0,14.0,Rain,0.0,0.0,Winter,2015-01-08,10,2015
193,9.0,6.0,82.0,20.5,Rain,0.0,0.0,Winter,2015-01-08,11,2015
522,9.0,6.5,84.5,17.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,12,2015
672,9.0,5.5,79.0,27.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,13,2015
761,10.0,7.0,71.0,22.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,14,2015
781,9.0,6.0,71.0,22.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,15,2015
1212,9.0,6.0,71.0,19.5,Scattered Clouds,0.0,0.0,Winter,2015-01-08,16,2015
2351,9.0,6.0,76.0,22.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,17,2015
2110,8.5,5.5,73.5,22.5,Clear,0.0,0.0,Winter,2015-01-08,18,2015
1239,8.0,5.0,73.5,20.5,Clear,0.0,0.0,Winter,2015-01-08,19,2015
752,8.0,5.0,76.0,17.0,Clear,0.0,0.0,Winter,2015-01-08,20,2015
457,8.0,4.5,76.0,20.5,Clear,0.0,0.0,Winter,2015-01-08,21,2015
423,8.5,5.5,73.5,21.0,Clear,0.0,0.0,Winter,2015-01-08,22,2015
267,9.0,5.5,76.0,27.0,Scattered Clouds,0.0,0.0,Winter,2015-01-08,23,2015
147,10.0,7.0,71.0,28.0,Scattered Clouds,0.0,0.0,Winter,2015-01-09,0,2015
60,10.0,7.0,73.5,30.0,Rain,0.0,0.0,Winter,2015-01-09,1,2015
65,10.0,6.5,79.0,29.5,Rain,0.0,0.0,Winter,2015-01-09,2,2015
42,11.0,11.0,79.5,29.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,3,2015
47,11.0,11.0,85.0,33.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,4,2015
85,11.5,11.5,85.0,33.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,5,2015
441,12.0,12.0,82.0,32.5,Broken Clouds,0.0,0.0,Winter,2015-01-09,6,2015
1593,12.0,12.0,82.0,31.5,Broken Clouds,0.0,0.0,Winter,2015-01-09,7,2015
3505,12.0,12.0,79.5,25.0,Scattered Clouds,0.0,0.0,Winter,2015-01-09,8,2015
1768,12.0,12.0,74.5,30.0,Scattered Clouds,0.0,0.0,Winter,2015-01-09,9,2015
799,12.5,12.5,69.5,29.5,Clear,0.0,0.0,Winter,2015-01-09,10,2015
806,13.0,13.0,67.0,28.0,Clear,0.0,0.0,Winter,2015-01-09,11,2015
1052,13.0,13.0,67.0,26.0,Clear,0.0,0.0,Winter,2015-01-09,12,2015
1078,13.0,13.0,63.0,30.0,Clear,0.0,0.0,Winter,2015-01-09,13,2015
976,13.0,13.0,63.0,26.0,Scattered Clouds,0.0,0.0,Winter,2015-01-09,14,2015
912,13.5,13.5,67.5,33.5,Rain,0.0,0.0,Winter,2015-01-09,15,2015
1229,13.0,13.0,79.5,37.0,Rain,0.0,0.0,Winter,2015-01-09,16,2015
2409,13.5,13.5,85.0,35.0,Rain,0.0,0.0,Winter,2015-01-09,17,2015
1983,15.0,15.0,82.0,36.0,Rain,0.0,0.0,Winter,2015-01-09,18,2015
1094,15.5,15.5,77.0,41.0,Rain,0.0,0.0,Winter,2015-01-09,19,2015
686,15.0,15.0,72.0,44.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,20,2015
443,15.0,15.0,68.0,41.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,21,2015
464,15.0,15.0,68.0,40.0,Broken Clouds,0.0,0.0,Winter,2015-01-09,22,2015
420,14.0,14.0,77.0,41.5,Cloudy,0.0,0.0,Winter,2015-01-09,23,2015
392,14.0,14.0,77.0,39.0,Cloudy,0.0,1.0,Winter,2015-01-10,0,2015
277,14.0,14.0,77.0,40.0,Cloudy,0.0,1.0,Winter,2015-01-10,1,2015
189,14.0,14.0,72.0,40.5,Broken Clouds,0.0,1.0,Winter,2015-01-10,2,2015
153,13.0,13.0,77.0,41.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,3,2015
90,13.0,13.0,77.0,36.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,4,2015
52,13.0,13.0,77.0,35.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,5,2015
69,13.0,13.0,82.0,35.0,Rain,0.0,1.0,Winter,2015-01-10,6,2015
143,13.0,13.0,79.5,35.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,7,2015
321,14.0,14.0,74.5,40.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,8,2015
619,14.0,14.0,77.0,48.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,9,2015
757,14.0,14.0,74.5,41.0,Rain,0.0,1.0,Winter,2015-01-10,10,2015
800,11.5,11.5,67.5,42.5,Broken Clouds,0.0,1.0,Winter,2015-01-10,11,2015
1191,11.5,11.5,58.0,41.5,Scattered Clouds,0.0,1.0,Winter,2015-01-10,12,2015
1395,10.5,8.5,54.0,38.0,Broken Clouds,0.0,1.0,Winter,2015-01-10,13,2015
1358,9.0,4.5,54.0,42.5,Broken Clouds,0.0,1.0,Winter,2015-01-10,14,2015
1436,9.0,5.0,48.0,35.0,Scattered Clouds,0.0,1.0,Winter,2015-01-10,15,2015
1270,8.0,4.0,51.5,27.0,Clear,0.0,1.0,Winter,2015-01-10,16,2015
1054,8.0,4.0,51.5,29.0,Scattered Clouds,0.0,1.0,Winter,2015-01-10,17,2015
849,7.0,3.0,55.0,26.0,Clear,0.0,1.0,Winter,2015-01-10,18,2015
720,6.0,2.0,57.0,26.0,Clear,0.0,1.0,Winter,2015-01-10,19,2015
556,6.0,2.0,57.0,25.0,Clear,0.0,1.0,Winter,2015-01-10,20,2015
349,6.0,2.0,57.0,21.0,Clear,0.0,1.0,Winter,2015-01-10,21,2015
335,5.0,1.0,66.0,20.0,Clear,0.0,1.0,Winter,2015-01-10,22,2015
334,5.0,1.0,66.0,19.5,Clear,0.0,1.0,Winter,2015-01-10,23,2015
360,4.5,0.5,72.5,22.0,Clear,0.0,1.0,Winter,2015-01-11,0,2015
255,4.0,-0.5,75.0,22.0,Clear,0.0,1.0,Winter,2015-01-11,1,2015
198,4.0,-0.5,75.0,23.0,Clear,0.0,1.0,Winter,2015-01-11,2,2015
135,4.0,-1.0,75.0,27.0,Scattered Clouds,0.0,1.0,Winter,2015-01-11,3,2015
74,4.0,-1.0,72.5,28.0,Clear,0.0,1.0,Winter,2015-01-11,4,2015
57,4.0,-1.0,70.0,27.0,Clear,0.0,1.0,Winter,2015-01-11,5,2015
67,4.5,0.0,68.0,24.0,Clear,0.0,1.0,Winter,2015-01-11,6,2015
93,5.0,1.0,66.0,24.0,Clear,0.0,1.0,Winter,2015-01-11,7,2015
241,5.0,0.0,66.0,29.5,Clear,0.0,1.0,Winter,2015-01-11,8,2015
538,5.5,0.5,63.5,29.0,Clear,0.0,1.0,Winter,2015-01-11,9,2015
922,6.5,2.0,61.0,30.0,Clear,0.0,1.0,Winter,2015-01-11,10,2015
1248,7.5,3.5,59.0,27.0,Clear,0.0,1.0,Winter,2015-01-11,11,2015
1555,8.5,4.5,55.5,27.0,Clear,0.0,1.0,Winter,2015-01-11,12,2015
1813,9.0,5.0,56.0,28.0,Scattered Clouds,0.0,1.0,Winter,2015-01-11,13,2015
1639,9.0,5.0,60.0,28.0,Scattered Clouds,0.0,1.0,Winter,2015-01-11,14,2015
1464,8.5,5.0,64.0,26.0,Broken Clouds,0.0,1.0,Winter,2015-01-11,15,2015
1097,8.0,4.5,66.0,23.0,Broken Clouds,0.0,1.0,Winter,2015-01-11,16,2015
827,8.0,5.0,71.0,20.5,Rain,0.0,1.0,Winter,2015-01-11,17,2015
519,8.0,4.0,73.5,25.0,Rain,0.0,1.0,Winter,2015-01-11,18,2015
493,8.0,4.0,73.5,24.0,Broken Clouds,0.0,1.0,Winter,2015-01-11,19,2015
315,8.0,4.5,71.0,26.0,Rain,0.0,1.0,Winter,2015-01-11,20,2015
260,8.0,4.0,71.0,30.0,Rain,0.0,1.0,Winter,2015-01-11,21,2015
237,9.0,5.0,66.0,37.0,Rain,0.0,1.0,Winter,2015-01-11,22,2015
168,9.0,5.0,71.0,30.5,Broken Clouds,0.0,1.0,Winter,2015-01-11,23,2015
117,9.0,5.0,68.5,29.0,Scattered Clouds,0.0,0.0,Winter,2015-01-12,0,2015
45,10.0,6.0,60.0,34.0,Cloudy,0.0,0.0,Winter,2015-01-12,1,2015
29,10.0,7.0,64.5,30.0,Cloudy,0.0,0.0,Winter,2015-01-12,2,2015
36,10.0,6.5,67.0,30.5,Broken Clouds,0.0,0.0,Winter,2015-01-12,3,2015
26,10.0,6.5,67.0,33.5,Broken Clouds,0.0,0.0,Winter,2015-01-12,4,2015
86,10.0,6.0,67.0,35.0,Broken Clouds,0.0,0.0,Winter,2015-01-12,5,2015
433,10.0,6.0,73.5,31.0,Rain,0.0,0.0,Winter,2015-01-12,6,2015
1541,10.0,7.0,76.0,30.0,Rain,0.0,0.0,Winter,2015-01-12,7,2015
3418,10.0,6.0,76.0,31.0,Broken Clouds,0.0,0.0,Winter,2015-01-12,8,2015
1832,11.5,11.5,67.0,32.5,Broken Clouds,0.0,0.0,Winter,2015-01-12,9,2015
723,12.0,12.0,67.0,33.0,Broken Clouds,0.0,0.0,Winter,2015-01-12,10,2015
654,12.0,12.0,74.5,39.0,Broken Clouds,0.0,0.0,Winter,2015-01-12,11,2015
700,12.0,12.0,79.5,29.5,Broken Clouds,0.0,0.0,Winter,2015-01-12,12,2015
631,12.0,12.0,79.5,29.5,Broken Clouds,0.0,0.0,Winter,2015-01-12,13,2015
520,12.5,12.5,77.0,33.0,Rain,0.0,0.0,Winter,2015-01-12,14,2015
374,12.0,12.0,82.0,25.0,Rain,0.0,0.0,Winter,2015-01-12,15,2015
669,12.0,12.0,82.0,22.5,Rain,0.0,0.0,Winter,2015-01-12,16,2015
1510,11.5,11.5,88.0,22.0,Rain,0.0,0.0,Winter,2015-01-12,17,2015
1186,11.0,11.0,94.0,22.0,Rain,0.0,0.0,Winter,2015-01-12,18,2015
1136,11.5,11.5,85.0,22.0,Rain,0.0,0.0,Winter,2015-01-12,19,2015
753,12.0,12.0,82.0,20.0,Cloudy,0.0,0.0,Winter,2015-01-12,20,2015
510,12.0,12.0,85.0,18.5,Rain,0.0,0.0,Winter,2015-01-12,21,2015
184,12.0,12.0,88.0,21.0,Rain,0.0,0.0,Winter,2015-01-12,22,2015
86,12.0,12.0,88.0,23.0,Rain,0.0,0.0,Winter,2015-01-12,23,2015
64,12.0,12.0,88.0,25.0,Rain,0.0,0.0,Winter,2015-01-13,0,2015
29,12.0,12.0,88.0,30.0,Rain,0.0,0.0,Winter,2015-01-13,1,2015
21,11.5,11.5,88.0,24.5,Rain,0.0,0.0,Winter,2015-01-13,2,2015
13,11.0,11.0,85.0,19.0,Rain,0.0,0.0,Winter,2015-01-13,3,2015
33,11.0,11.0,82.0,21.0,Rain,0.0,0.0,Winter,2015-01-13,4,2015
113,10.5,9.0,79.5,21.0,Rain,0.0,0.0,Winter,2015-01-13,5,2015
600,10.0,7.5,82.0,20.5,Scattered Clouds,0.0,0.0,Winter,2015-01-13,6,2015
1584,9.5,6.5,79.0,21.0,Rain,0.0,0.0,Winter,2015-01-13,7,2015
3960,9.0,6.5,71.0,16.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,8,2015
2090,9.0,6.0,71.0,18.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,9,2015
960,9.0,6.5,71.0,17.5,Clear,0.0,0.0,Winter,2015-01-13,10,2015
866,9.0,6.0,68.5,18.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,11,2015
1019,9.5,6.5,64.0,20.5,Rain,0.0,0.0,Winter,2015-01-13,12,2015
719,9.0,5.5,73.5,27.5,Rain,0.0,0.0,Winter,2015-01-13,13,2015
811,8.5,4.5,71.0,29.0,Rain,0.0,0.0,Winter,2015-01-13,14,2015
883,8.0,4.5,73.5,21.5,Scattered Clouds,0.0,0.0,Winter,2015-01-13,15,2015
1391,7.5,4.0,68.5,23.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,16,2015
2886,7.0,3.0,71.0,22.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,17,2015
2659,7.0,4.5,71.0,14.0,Rain,0.0,0.0,Winter,2015-01-13,18,2015
1548,6.0,2.5,76.0,19.5,Rain,0.0,0.0,Winter,2015-01-13,19,2015
947,5.5,1.5,76.0,21.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,20,2015
660,5.0,1.0,76.0,23.0,Scattered Clouds,0.0,0.0,Winter,2015-01-13,21,2015
501,5.0,2.0,76.0,17.0,Clear,0.0,0.0,Winter,2015-01-13,22,2015
340,5.0,1.0,70.0,19.5,Clear,0.0,0.0,Winter,2015-01-13,23,2015
168,5.0,0.5,66.0,26.0,Clear,0.0,0.0,Winter,2015-01-14,0,2015
79,5.0,0.0,66.0,30.0,Clear,0.0,0.0,Winter,2015-01-14,1,2015
60,5.0,0.5,66.0,24.0,Clear,0.0,0.0,Winter,2015-01-14,2,2015
54,4.5,0.5,72.5,21.0,Clear,0.0,0.0,Winter,2015-01-14,3,2015
44,4.5,1.5,72.5,14.0,Clear,0.0,0.0,Winter,2015-01-14,4,2015
93,5.0,1.5,70.0,17.5,Clear,0.0,0.0,Winter,2015-01-14,5,2015
560,5.0,1.0,70.0,23.0,Broken Clouds,0.0,0.0,Winter,2015-01-14,6,2015
1820,4.5,-1.0,68.0,30.5,Scattered Clouds,0.0,0.0,Winter,2015-01-14,7,2015
3904,4.0,-1.0,70.0,26.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,8,2015
2064,4.5,-0.5,68.0,29.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,9,2015
841,5.0,0.0,70.0,30.5,Scattered Clouds,0.0,0.0,Winter,2015-01-14,10,2015
732,5.5,1.0,65.5,27.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,11,2015
1013,6.5,2.5,59.0,27.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,12,2015
1066,7.0,3.0,57.0,24.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,13,2015
913,7.0,3.5,55.0,22.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,14,2015
969,7.0,4.0,55.0,18.0,Clear,0.0,0.0,Winter,2015-01-14,15,2015
1365,7.0,4.5,59.0,16.0,Clear,0.0,0.0,Winter,2015-01-14,16,2015
2638,7.5,4.5,64.0,16.0,Scattered Clouds,0.0,0.0,Winter,2015-01-14,17,2015
1974,8.0,4.5,71.0,21.5,Scattered Clouds,0.0,0.0,Winter,2015-01-14,18,2015
1254,9.0,5.5,71.0,27.0,Broken Clouds,0.0,0.0,Winter,2015-01-14,19,2015
885,10.0,6.0,69.0,31.0,Broken Clouds,0.0,0.0,Winter,2015-01-14,20,2015
537,10.0,6.0,71.0,38.0,Rain,0.0,0.0,Winter,2015-01-14,21,2015
344,9.5,5.5,76.5,39.0,Rain,0.0,0.0,Winter,2015-01-14,22,2015
188,10.0,6.0,79.0,40.0,Snowfall,0.0,0.0,Winter,2015-01-14,23,2015
91,10.0,6.0,82.0,40.0,Rain,0.0,0.0,Winter,2015-01-15,0,2015
66,11.0,11.0,79.5,40.0,Snowfall,0.0,0.0,Winter,2015-01-15,1,2015
25,11.0,11.0,82.0,44.5,Snowfall,0.0,0.0,Winter,2015-01-15,2,2015
23,11.5,11.5,79.5,45.0,Rain,0.0,0.0,Winter,2015-01-15,3,2015
23,11.0,11.0,77.0,37.0,Snowfall,0.0,0.0,Winter,2015-01-15,4,2015
62,10.0,6.5,79.0,31.5,Rain,0.0,0.0,Winter,2015-01-15,5,2015
481,9.5,5.5,73.5,29.5,Rain,0.0,0.0,Winter,2015-01-15,6,2015
1692,9.0,6.0,73.5,23.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,7,2015
3673,9.0,6.0,66.0,21.0,Clear,0.0,0.0,Winter,2015-01-15,8,2015
1941,9.0,6.0,73.5,19.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,9,2015
844,9.0,6.0,76.0,21.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,10,2015
729,9.0,6.0,66.0,26.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,11,2015
835,8.5,5.0,71.0,25.0,Rain,0.0,0.0,Winter,2015-01-15,12,2015
1005,9.0,5.0,64.0,32.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,13,2015
828,9.0,5.0,60.0,30.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,14,2015
912,9.0,5.0,52.0,36.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,15,2015
1249,8.0,4.0,53.0,29.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,16,2015
2524,7.5,3.5,55.0,29.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,17,2015
2480,7.0,3.0,57.0,29.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,18,2015
1353,8.0,4.0,51.5,29.5,Scattered Clouds,0.0,0.0,Winter,2015-01-15,19,2015
810,7.0,2.0,51.0,34.0,Scattered Clouds,0.0,0.0,Winter,2015-01-15,20,2015
591,6.5,1.5,57.0,32.0,Clear,0.0,0.0,Winter,2015-01-15,21,2015
